"country","TikTokUsersCountryTotal2023"
"United States",113300000
"Indonesia",109900000
"Pakistan",16510000
"Brazil",82210000
"Russia",54860000
"Mexico",57520000
"Japan",20700000
"Philippines",43430000
"Egypt",23730000
"Vietnam",49860000
"Turkey",29860000
"Germany",20650000
"Thailand",40280000
"United Kingdom",19660000
"France",20950000
"South Africa",11830000
"Italy",17150000
"Colombia",20110000
"South Korea",5660000
"Spain",16630000
"Iraq",23880000
"Argentina",16220000
"Poland",10140000
"Canada",10750000
"Morocco",9270000
"Ukraine",13010000
"Saudi Arabia",26390000
"Peru",16870000
"Malaysia",19300000
"Australia",8300000
"Taiwan",5330000
"Kazakhstan",10410000
"Chile",11250000
"Romania",7580000
"Ecuador",9650000
"Netherlands",5660000
"Cambodia",7060000
"Belgium",3520000
"Jordan",4430000
"Sweden",3390000
"Czech Republic",1950000
"Greece",3010000
"Portugal",3240000
"Hungary",2640000
"United Arab Emirates",8230000
"Belarus",4270000
"Israel",3850000
"Austria",2140000
"Switzerland",2060000
"Singapore",2390000
"Denmark",1350000
"Finland",1420000
"Norway",1650000
"New Zealand",1650000
"Lebanon",2780000
"Ireland",2130000
"Oman",1730000
"Kuwait",3220000
"Uruguay",1490000
"Qatar",2140000
"Bahrain",889500