S.no,Name,Youtuber,country, Subscribers,Category_2,"Avg. views
",Avg. likes,Avg Comments,Category_3
1,T-Series,tseries,India,224.4M,Music & Dance,141.5K,4.6K,125,
2,Cocomelon - Nursery Rhymes,checkgate,United States,142.5M,Education,12.5M,64.8K,0,
3,PewDiePie,PewDiePie,United States,111.6M,Animation,1.9M,130.5K,7.4K,
4,MrBeast,MrBeast6000,United States,104.1M,Video games,44.8M,2.2M,70.9K,Humor
5,✿ Kids Diana Show,✿ Kids Diana Show,United States,100.5M,Animation,6.9M,34.8K,0,Toys
6,Like Nastya,Like Nastya,United States,100.4M,Toys,5.3M,28.1K,0,
7,WWE,WWEFanNation,United States,90.8M,Video games,139.5K,4.8K,205,
8,Zee Music Company,zeemusiccompany,India,87.7M,Music & Dance,103.7K,1.4K,54,
9,Vlad and Niki,Vlad and Niki,United States,86.1M,Animation,5.3M,14.4K,0,Toys
10,BLACKPINK,BLACKPINK,United States,80.3M,Music & Dance,10.4M,1.4M,42K,
11,5-Minute Crafts,5-Minute Crafts,India,77.3M,,214.1K,1.8K,77,
12,Goldmines,GoldminesTelefilms,India,75.7M,,141.9K,2.1K,56,
13,Sony SAB,sabtv,India,71.7M,Movies,61.7K,924,18,Animation
14,BANGTANTV,BANGTANTV,India,70.6M,Music & Dance,3.9M,743.3K,15.8K,
15,HYBE LABELS,ibighit,United States,68.2M,Music & Dance,1M,173.1K,4.5K,
16,Canal KondZilla,CanalKondZilla,Brazil,66M,Music & Dance,37.4K,1.7K,109,
17,Zee TV,zeetv,India,63.4M,,109.4K,1.1K,15,
18,Shemaroo Filmi Gaane,filmigaane,India,61.8M,Music & Dance,30.4K,273,14,
19,Pinkfong Baby Shark - Kids' Songs & Stories,SmartBooksMedia,United States,60M,Animation,523.2K,1.3K,0,Toys
20,ChuChu TV Nursery Rhymes & Kids Songs,ChuChu TV Nursery Rhymes & Kids Songs,India,58.4M,Toys,758.8K,3.6K,0,
21,Dude Perfect,corycotton,United States,58.3M,Video games,6.4M,206.7K,7.9K,
22,Movieclips,movieclips,United States,57.8M,Movies,18.8K,181,11,Animation
23,Colors TV,colorstv,India,56M,,19.3K,407,5,
24,Marshmello,Marshmello,United States,55.9M,Music & Dance,197.9K,13.2K,729,
25,Wave Music,BHOJPURIWAVE,India,53.9M,Music & Dance,56.6K,857,94,
26,Tips Official,tipsmusic,India,53.5M,Music & Dance,233.3K,2.8K,60,
27,Aaj Tak,aajtaktv,India,53.4M,News & Politics,7.5K,138,11,
28,EminemMusic,EminemMusic,United States,53.3M,Movies,1.6M,90.6K,5.3K,Animation
29,T-Series Bhakti Sagar,tseriesbhakti,India,53.3M,Music & Dance,45.6K,1.3K,53,
30,Sony Music India,sonymusicindiaSME,India,53M,Music & Dance,451.4K,15.9K,1.1K,
31,Ed Sheeran,EdSheeran,United States,52.4M,Music & Dance,239.1K,20.9K,1.1K,
32,El Reino Infantil,ReinoMariaElenaWalsh,,52.3M,Music & Dance,234.6K,894,0,
33,LooLoo Kids - Nursery Rhymes and Children's Songs,LooLooKids,United States,50.2M,Music & Dance,1.1M,5.7K,0,
34,YRF,yrf,India,48.2M,Music & Dance,67.2K,3.4K,19,Movies
35,BillionSurpriseToys - English Kids Songs & Cartoon,BillionSurpriseToys - English Kids Songs & Cartoon,United States,47.3M,Toys,399.9K,0,0,
36,Infobells - Hindi,infobellshindirhymes,India,46.4M,Education,967K,4.8K,0,
37,JuegaGerman,JuegaGerman,Mexico,46.4M,Movies,1.7M,114.4K,3.9K,Animation
38,Badabun,Badabun,Mexico,45.8M,,9.4K,447,8,
39,Fernanfloo,Fernanfloo,Mexico,45.2M,Animation,3.3M,0,26.6K,Video games
40,Felipe Neto,felipeneto,Brazil,44.4M,,1M,124.5K,1.3K,
41,BRIGHT SIDE,BRIGHT SIDE,United States,44M,Animation,51.3K,1.4K,116,
42,whinderssonnunes,whinderssonnunes,Brazil,44M,Music & Dance,350.9K,58.8K,1.6K,Animation
43,Você Sabia?,vcsabiavideos,Brazil,43.5M,,488.2K,46.4K,228,
44,Bad Bunny,Bad Bunny,Mexico,43.3M,Music & Dance,41.3M,1.4M,62K,Movies
45,SonyMusicIndiaVEVO,sonymusicindiaVEVO,India,43.2M,Music & Dance,76.8K,2.4K,93,
46,Get Movies,getmovies,Russia,41.9M,,60.4K,375,0,
47,A4,A4,Russia,41.7M,Animation,10M,483.6K,30.4K,Humor
48,Like Nastya Show,Like Nastya Show,,41.6M,Animation,121.6K,786,0,Toys
49,Speed Records,speedrecordss,India,41.1M,Music & Dance,47.5K,1.5K,76,
50,ABS-CBN Entertainment,ABSCBNOnline,Philippines,41M,,1.2K,19,0,
51,Shemaroo,ShemarooEnt,India,40.6M,,8.9K,65,4,
52,elrubiusOMG,elrubiusOMG,Spain,40.5M,Animation,0,0,0,Video games
53,Little Baby Bum - Nursery Rhymes & Kids Songs,LittleBabyBum,United Kingdom,39.8M,Animation,218.6K,532,0,Toys
54,Voot Kids,Voot Kids,India,39.4M,Movies,1.5M,11.8K,0,Animation
55,Luisito Comunica,LuisitoComunicaa,Mexico,39.4M,,4M,124.2K,3.9K,
56,Маша и Медведь,MashaMedvedTV,,38.9M,Education,1.5M,7.8K,0,
57,TheEllenShow,TheEllenShow,United States,38.3M,,16.1K,411,40,
58,Ishtar Music,venus,India,38.1M,Music & Dance,54.5K,1.3K,17,
59,LUCCAS NETO - LUCCAS TOON,luccasneto,Brazil,37.9M,Movies,923.8K,16.4K,0,Animation
60,GR6 EXPLODE,gr6explode,Brazil,37.9M,Music & Dance,75.2K,4.8K,133,
61,Kimberly Loaiza,Kimberly Loaiza,Mexico,37.5M,Daily vlogs,2M,389.7K,4.1K,
62,Shakira,shakira,United States,37.5M,,2.1M,0,2.4K,
63,WorkpointOfficial,WorkpointOfficial,Thailand,37.3M,,10.6K,168,5,
64,Daddy Yankee,DaddyYankeeOFFTV,Colombia,36.9M,Music & Dance,0,0,0,
65,Toys and Colors,Toys and Colors,United States,36.9M,Movies,2.7M,4.5K,0,Toys
66,CarryMinati,AddictedA1,India,36.7M,Movies,24.7M,4.4M,170.9K,Humor
67,TEDx Talks,TEDxTalks,United States,36.2M,,205,4,0,
68,shfa2 - شفا,shfa2 - شفا,UAE,36.1M,Daily vlogs,326K,3.2K,0,
69,shfa,shfa,France,36.1M,Daily vlogs,3.7M,52.9K,0,
70,Jkk Entertainment,Jkk Entertainment,India,36M,,3.9M,32.6K,450,
71,Masha and The Bear,Masha and The Bear,Russia,35.7M,Animation,1.8M,7.6K,0,Toys
72,Super Simple Songs - Kids Songs,SuperSimpleSongs,Canada,35.6M,Music & Dance,1.8M,3.8K,0,
73,Ozuna,Ozuna,United States,35.3M,Music & Dance,27.3M,116.7K,4.1K,
74,Goldmines Gaane Sune Ansune,Goldmines Gaane Sune Ansune,India,34.8M,Music & Dance,33.1K,271,14,
75,one31,gmmonetv,Thailand,34.6M,,6.6K,127,2,
76,Mikecrack,Mikecrack,Mexico,34.5M,Movies,2.8M,334.8K,6.1K,Animation
77,Like Nastya ESP,Like Nastya ESP,,34.1M,,372.4K,1.2K,0,
78,Maria Clara & JP,Maria Clara & JP,Brazil,33.6M,,5.9M,40K,0,
79,YouTube,YouTube,United States,33.6M,,258.8K,0,0,
80,Markiplier,markiplierGAME,United States,33.6M,Animation,2.6M,145.9K,5.8K,Video games
81,VEGETTA777,vegetta777,Mexico,33.6M,Video games,766.5K,57.4K,416,
82,Total Gaming,Total Gaming,India,33.5M,,1.2M,127.4K,6.3K,
83,ARY Digital HD,ARY Digital HD,Pakistan,33.5M,,10.4K,121,6,
84,ABP NEWS,abpnewstv,India,33.5M,News & Politics,3.5K,43,4,
85,Desi Music Factory,Desi Music Factory,India,33.2M,Music & Dance,3.2M,4.4K,2.5K,
86,Ultra Bollywood,UltraHindi,India,33.1M,,24.9K,217,9,
87,Sony PAL,sonypalindia,India,33.1M,,9.1K,104,8,
88,Geet MP3,Geet MP3,India,33.1M,Music & Dance,341.8K,22.8K,1.2K,
89,NoCopyrightSounds,NoCopyrightSounds,United States,32.9M,Music & Dance,362.5K,15.6K,1.2K,
90,Ryan's World,Ryan's World,United States,32.9M,Animation,826.9K,4.1K,0,Toys
91,HAR PAL GEO,harpalgeo,Pakistan,32.8M,,5K,44,2,
92,SSSniperWolf,SSSniperWolf,United States,32.7M,Humor,3.9M,107.2K,6.9K,
93,T-Series Apna Punjab,tseriesapnapunjab,India,32.6M,Music & Dance,30K,1.6K,31,
94,IndiaTV,IndiaTV,India,32.4M,News & Politics,8.6K,134,12,
95,KHANDESHI MOVIES,KHANDESHI MOVIES,India,32.3M,,4.5M,36.7K,579,
96,La Granja de Zenón,cancionesdelagranja,,31.8M,Music & Dance,668.2K,2.9K,0,Animation
97,GENIAL,GENIAL,Mexico,31.5M,Animation,51.5K,1.8K,68,
98,Eros Now Music,erosentertainment,India,31.2M,,20.5K,552,22,
99,Galinha Pintadinha,juptube,Brazil,31.1M,Music & Dance,21.7M,64.9K,0,
100,Bollywood Classics,tseriesoldisgold,India,31M,Music & Dance,30.7K,547,28,
