"country","YouTubeUsersJuly2023","YouTubeUsersPenetrationJuly2023"
"India",467,36.2
"United States",246,78.3
"Indonesia",139,55
"Pakistan",71.7,38.9
"Nigeria",31.6,25.2
"Brazil",142,72.9
"Bangladesh",34.4,23.2
"Mexico",81.8,71.1
"Japan",78.4,70.8
"Philippines",57.7,61.4
"Egypt",45.9,50.6
"Vietnam",63,68.1
"Turkey",57.9,73.9
"Germany",70.9,89.9
"Thailand",43.9,63.3
"United Kingdom",57.1,91.9
"France",52.1,88.8
"South Africa",25.8,56
"Italy",43.9,78.3
"Kenya",9.44,25.4
"Colombia",30.7,64.2
"South Korea",46,91.6
"Spain",40.7,90.1
"Iraq",24.3,72
"Algeria",22.7,65.1
"Argentina",31.8,77.6
"Poland",27.5,71.4
"Canada",33.1,90.6
"Morocco",21.3,68.3
"Ukraine",26.7,76.1
"Saudi Arabia",29.1,90.8
"Ghana",6.92,32.7
"Peru",17.6,57.3
"Malaysia",23.9,79.6
"Australia",21.3,87
"Taiwan",20.2,87.4
"Sri Lanka",7.04,36.9
"Chile",15.4,85.3
"Romania",13.5,72.9
"Ecuador",11.7,74
"Guatemala",7.64,53.4
"Senegal",3.71,34.7
"Netherlands",15.5,92.6
"Bolivia",5.88,58.1
"Tunisia",7.24,71.3
"Belgium",9.44,87.6
"Dominican Republic",7.39,77.4
"Jordan",6.61,74
"Honduras",4.39,51.4
"Sweden",8.7,90
"Czech Republic",8.07,83.5
"Greece",7.49,76.2
"Portugal",7.43,75.5
"Hungary",7.4,77.9
"United Arab Emirates",8.99,98.5
"Israel",7.06,91
"Austria",7.34,86.8
"Switzerland",7.29,88.4
"Hong Kong",6.73,91.3
"Nicaragua",2.97,53.6
"Serbia",5.01,72.2
"Paraguay",4.47,83.4
"Bulgaria",4.42,69.2
"El Salvador",3.51,62
"Singapore",5.08,85.8
"Denmark",4.94,90
"Slovakia",4.16,76.8
"Finland",4.62,88.6
"Norway",4.62,91.9
"New Zealand",4.24,88.6
"Costa Rica",3.83,80.9
"Lebanon",4.91,112.3
"Ireland",4.02,88.5
"Oman",4.17,107.6
"Panama",2.48,63.5
"Kuwait",3.59,91.4
"Croatia",2.94,76.5
"Uruguay",2.45,78
"Puerto Rico",2.22,72.7
"Bosnia and Herzegovina",2.2,74.1
"Qatar",2.62,102.5
"Lithuania",2.12,82.4
"Slovenia",1.64,83
"Latvia",1.48,86.6
"Bahrain",1.46,109.5
"Estonia",1.07,87.3
"Iceland",0.29,88.4